model,training_method,AUPRC,Average_Precision,Fraud_F1,Precision,Recall,FP,FN,TP,Custom_Score
LR,none,0.7078,0.7086,0.7315,0.8624,0.6351,15,54,94,-155
LR,class_weight,0.7486,0.7115,0.1221,0.0656,0.8784,1851,18,130,-911
LR,SMOTE,0.7507,0.7134,0.1135,0.0607,0.8649,1980,20,128,-1100
LR,SMOTEENN,0.7653,0.7105,0.1076,0.0574,0.8649,2103,20,128,-1223
RF,none,0.8051,0.8028,0.8203,0.9722,0.7095,3,43,105,187
RF,class_weight,0.7841,0.7833,0.7986,0.837,0.7635,22,35,113,408
RF,SMOTE,0.766,0.7657,0.5324,0.398,0.8041,180,29,119,430
RF,SMOTEENN,0.7141,0.7007,0.5369,0.4013,0.8108,179,28,120,461
MLP,none,0.5999,0.6014,0.7037,0.7787,0.6419,27,53,95,-137
MLP,class_weight,0.7026,0.7036,0.1568,0.0862,0.8649,1357,20,128,-477
MLP,SMOTE,0.7277,0.7283,0.1691,0.094,0.8446,1205,23,125,-415
MLP,SMOTEENN,0.7225,0.7233,0.1639,0.0908,0.8446,1252,23,125,-462
