model,class_weight_setting,AUPRC,Average_Precision,Fraud_F1,Precision,Recall,FP,FN,TP,Custom_Score
LR,1,0.7078,0.7086,0.7315,0.8624,0.6351,15,54,94,-155
LR,2,0.716,0.7168,0.7681,0.8281,0.7162,22,42,106,198
LR,5,0.7172,0.7181,0.7593,0.7619,0.7568,35,36,112,365
LR,10,0.7167,0.7177,0.7492,0.7233,0.777,44,33,115,446
LR,20,0.719,0.7199,0.7126,0.6398,0.8041,67,29,119,543
LR,balanced,0.7486,0.7115,0.1221,0.0656,0.8784,1851,18,130,-911
RF,1,0.8051,0.8028,0.8203,0.9722,0.7095,3,43,105,187
RF,2,0.8018,0.8019,0.8333,0.9483,0.7432,6,38,110,334
RF,5,0.8088,0.8088,0.8346,0.9407,0.75,7,37,111,363
RF,10,0.8,0.7993,0.8333,0.9483,0.7432,6,38,110,334
RF,20,0.8105,0.8106,0.8178,0.9091,0.7432,11,38,110,329
RF,balanced,0.7841,0.7833,0.7986,0.837,0.7635,22,35,113,408
MLP,1,0.5999,0.6014,0.7037,0.7787,0.6419,27,53,95,-137
MLP,2,0.6315,0.6326,0.7194,0.7692,0.6757,30,48,100,10
MLP,5,0.6703,0.6714,0.7593,0.7619,0.7568,35,36,112,365
MLP,10,0.6589,0.6604,0.722,0.6848,0.7635,52,35,113,378
MLP,20,0.6848,0.686,0.7052,0.6409,0.7838,65,32,116,455
MLP,balanced,0.7026,0.7036,0.1568,0.0862,0.8649,1357,20,128,-477
