model,selected_config_type,training_method,threshold,sampling_strategy,k_neighbors,class_weight_setting,AUPRC,Average_Precision,Fraud_F1,Precision,Recall,FP,FN,TP,Custom_Score
RF,none,none,0.1,,,,0.8051,0.8028,0.7722,0.7262,0.8243,46,26,122,654
RF,none,none,0.2,,,,0.8051,0.8028,0.8188,0.8133,0.8243,28,26,122,672
RF,none,none,0.3,,,,0.8051,0.8028,0.8276,0.8451,0.8108,22,28,120,618
RF,none,none,0.5,,,,0.8051,0.8028,0.8203,0.9722,0.7095,3,43,105,187
RF,none,none,0.7,,,,0.8051,0.8028,0.7903,0.98,0.6622,2,50,98,-22
RF,best_SMOTE,SMOTE,0.1,0.1,5,,0.8341,0.8342,0.2417,0.1405,0.8649,783,20,128,97
RF,best_SMOTE,SMOTE,0.2,0.1,5,,0.8341,0.8342,0.565,0.4228,0.8514,172,22,126,648
RF,best_SMOTE,SMOTE,0.3,0.1,5,,0.8341,0.8342,0.7251,0.6392,0.8378,70,24,124,690
RF,best_SMOTE,SMOTE,0.5,0.1,5,,0.8341,0.8342,0.8215,0.8188,0.8243,27,26,122,673
RF,best_SMOTE,SMOTE,0.7,0.1,5,,0.8341,0.8342,0.8327,0.9256,0.7568,9,36,112,391
RF,best_class_weight,class_weight,0.1,,,1,0.8051,0.8028,0.7722,0.7262,0.8243,46,26,122,654
RF,best_class_weight,class_weight,0.2,,,1,0.8051,0.8028,0.8188,0.8133,0.8243,28,26,122,672
RF,best_class_weight,class_weight,0.3,,,1,0.8051,0.8028,0.8276,0.8451,0.8108,22,28,120,618
RF,best_class_weight,class_weight,0.5,,,1,0.8051,0.8028,0.8203,0.9722,0.7095,3,43,105,187
RF,best_class_weight,class_weight,0.7,,,1,0.8051,0.8028,0.7903,0.98,0.6622,2,50,98,-22
RF,SMOTEENN_default,SMOTEENN,0.1,1.0,5,,0.7141,0.7007,0.0422,0.0216,0.8986,6025,15,133,-4995
RF,SMOTEENN_default,SMOTEENN,0.2,1.0,5,,0.7141,0.7007,0.122,0.0655,0.8851,1869,17,131,-899
RF,SMOTEENN_default,SMOTEENN,0.3,1.0,5,,0.7141,0.7007,0.2417,0.1405,0.8649,783,20,128,97
RF,SMOTEENN_default,SMOTEENN,0.5,1.0,5,,0.7141,0.7007,0.5369,0.4013,0.8108,179,28,120,461
RF,SMOTEENN_default,SMOTEENN,0.7,1.0,5,,0.7141,0.7007,0.7085,0.6608,0.7635,58,35,113,372
